(0, 0)(2, 2)(4, 4)(0, 2)(2, 6)(7, 1)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 6)(7, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 6)(7, 3)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 6)(7, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 6)(7, 5)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 6)(7, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 6)(7, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(4, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(4, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(5, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(6, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(6, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(6, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(6, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(6, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 1)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 3)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 5)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 0)(7, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(4, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(5, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(6, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(6, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(6, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(6, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(6, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 1)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 3)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 5)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 2)(7, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(6, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(6, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(6, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(6, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 1)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 3)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 5)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(4, 6)(7, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(6, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(6, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(6, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(7, 3)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(7, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(7, 5)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(7, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 0)(7, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 2)(6, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 2)(6, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 2)(7, 5)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 2)(7, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 2)(7, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 4)(6, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(6, 4)(7, 7)
